classifier name,metric name,step,train size,value
tripletnet + RF,accuracy,0,1000,0.9373493975903614
tripletnet + RF,accuracy,1,1025,0.946987951807229
tripletnet + RF,accuracy,2,1050,0.9457831325301205
tripletnet + RF,accuracy,3,1075,0.9572289156626506
tripletnet + RF,accuracy,4,1100,0.9427710843373494
tripletnet + RF,accuracy,5,1125,0.9451807228915663
tripletnet + RF,accuracy,6,1150,0.9578313253012049
tripletnet + RF,accuracy,7,1175,0.9590361445783132
tripletnet + RF,accuracy,8,1200,0.958433734939759
tripletnet + RF,accuracy,9,1225,0.9554216867469879
tripletnet + RF,accuracy,10,1250,0.9578313253012049
tripletnet + RF,accuracy,11,1275,0.9608433734939759
tripletnet + RF,accuracy,12,1300,0.9632530120481928
tripletnet + RF,accuracy,13,1325,0.958433734939759
tripletnet + RF,accuracy,14,1350,0.9560240963855422
tripletnet + RF,accuracy,15,1375,0.963855421686747
tripletnet + RF,accuracy,16,1400,0.9614457831325302
tripletnet + RF,accuracy,17,1425,0.9590361445783132
tripletnet + RF,accuracy,18,1450,0.9656626506024096
tripletnet + RF,accuracy,19,1475,0.9608433734939759
tripletnet + RF,accuracy,20,1500,0.9650602409638555
tripletnet + RF,f1_macro,0,1000,0.774991171061029
tripletnet + RF,f1_macro,1,1025,0.7986135698652926
tripletnet + RF,f1_macro,2,1050,0.8395751519127097
tripletnet + RF,f1_macro,3,1075,0.8750145797565647
tripletnet + RF,f1_macro,4,1100,0.8466139972012499
tripletnet + RF,f1_macro,5,1125,0.8467463351872017
tripletnet + RF,f1_macro,6,1150,0.8706194963495335
tripletnet + RF,f1_macro,7,1175,0.8629130353225813
tripletnet + RF,f1_macro,8,1200,0.8836819565825313
tripletnet + RF,f1_macro,9,1225,0.8807481525930371
tripletnet + RF,f1_macro,10,1250,0.8802338916887
tripletnet + RF,f1_macro,11,1275,0.8875306435585454
tripletnet + RF,f1_macro,12,1300,0.8986818770174241
tripletnet + RF,f1_macro,13,1325,0.8809675309070689
tripletnet + RF,f1_macro,14,1350,0.8687117870417232
tripletnet + RF,f1_macro,15,1375,0.8911247642107762
tripletnet + RF,f1_macro,16,1400,0.8829789819648134
tripletnet + RF,f1_macro,17,1425,0.8860176914310405
tripletnet + RF,f1_macro,18,1450,0.8950860261589023
tripletnet + RF,f1_macro,19,1475,0.8936769714115235
tripletnet + RF,f1_macro,20,1500,0.8950110049662989
tripletnet + RF,precision,0,1000,0.906368522200936
tripletnet + RF,precision,1,1025,0.9302713516824734
tripletnet + RF,precision,2,1050,0.9252708531911725
tripletnet + RF,precision,3,1075,0.9349404844689987
tripletnet + RF,precision,4,1100,0.9123749949383833
tripletnet + RF,precision,5,1125,0.906950159143429
tripletnet + RF,precision,6,1150,0.9416251022981804
tripletnet + RF,precision,7,1175,0.9309281864875057
tripletnet + RF,precision,8,1200,0.9291332353449213
tripletnet + RF,precision,9,1225,0.9349653363877503
tripletnet + RF,precision,10,1250,0.916016755051225
tripletnet + RF,precision,11,1275,0.9386649027358844
tripletnet + RF,precision,12,1300,0.9335134411688735
tripletnet + RF,precision,13,1325,0.9266573730455349
tripletnet + RF,precision,14,1350,0.9255627535409685
tripletnet + RF,precision,15,1375,0.9387736635040838
tripletnet + RF,precision,16,1400,0.9323416842166843
