classifier name,metric name,step,train size,value
tripletnet + RF,accuracy,0,1000,0.9397590361445783
tripletnet + RF,accuracy,1,1025,0.9409638554216867
tripletnet + RF,accuracy,2,1050,0.944578313253012
tripletnet + RF,accuracy,3,1075,0.9548192771084337
tripletnet + RF,accuracy,4,1100,0.9512048192771084
tripletnet + RF,accuracy,5,1125,0.9530120481927711
tripletnet + RF,accuracy,6,1150,0.9421686746987952
tripletnet + RF,accuracy,7,1175,0.9548192771084337
tripletnet + RF,accuracy,8,1200,0.9542168674698795
tripletnet + RF,accuracy,9,1225,0.9572289156626506
tripletnet + RF,accuracy,10,1250,0.9608433734939759
tripletnet + RF,accuracy,11,1275,0.9560240963855422
tripletnet + RF,accuracy,12,1300,0.958433734939759
tripletnet + RF,accuracy,13,1325,0.9620481927710843
tripletnet + RF,accuracy,14,1350,0.9656626506024096
tripletnet + RF,accuracy,15,1375,0.9512048192771084
tripletnet + RF,accuracy,16,1400,0.9614457831325302
tripletnet + RF,accuracy,17,1425,0.9602409638554217
tripletnet + RF,accuracy,18,1450,0.9614457831325302
tripletnet + RF,accuracy,19,1475,0.9590361445783132
tripletnet + RF,accuracy,20,1500,0.9620481927710843
tripletnet + RF,f1_macro,0,1000,0.7849742782005035
tripletnet + RF,f1_macro,1,1025,0.8387877652350516
tripletnet + RF,f1_macro,2,1050,0.7908044260299775
tripletnet + RF,f1_macro,3,1075,0.8767172307027062
tripletnet + RF,f1_macro,4,1100,0.8568195315401794
tripletnet + RF,f1_macro,5,1125,0.8756632189641899
tripletnet + RF,f1_macro,6,1150,0.8582047726499663
tripletnet + RF,f1_macro,7,1175,0.8775789805417749
tripletnet + RF,f1_macro,8,1200,0.8786824389542394
tripletnet + RF,f1_macro,9,1225,0.884973472210475
tripletnet + RF,f1_macro,10,1250,0.8891247398306905
tripletnet + RF,f1_macro,11,1275,0.8818869959272645
tripletnet + RF,f1_macro,12,1300,0.8713086644040778
tripletnet + RF,f1_macro,13,1325,0.8766542146199944
tripletnet + RF,f1_macro,14,1350,0.8945224104554507
tripletnet + RF,f1_macro,15,1375,0.8621389312214969
tripletnet + RF,f1_macro,16,1400,0.8885108192781015
tripletnet + RF,f1_macro,17,1425,0.8872863838786168
tripletnet + RF,f1_macro,18,1450,0.8984612716463147
