train size,value_min,value_mean,value_max,value_var
42,0.4635,0.4927,0.5274,0.0009
67,0.4649,0.5773,0.6198,0.0041
92,0.5905,0.6315,0.673,0.0015
117,0.4261,0.5919,0.6894,0.0106
142,0.5244,0.6328,0.6906,0.0046
167,0.6622,0.6914,0.7124,0.0004
192,0.689,0.7045,0.7249,0.0002
217,0.7017,0.7307,0.7496,0.0003
242,0.7199,0.7506,0.8228,0.0017
267,0.6903,0.7714,0.843,0.0034
292,0.7715,0.7977,0.8163,0.0003
317,0.7724,0.8025,0.8325,0.0007
342,0.7669,0.8061,0.8545,0.0013
367,0.7841,0.8156,0.8509,0.0007
392,0.7658,0.804,0.8282,0.0006
417,0.7588,0.815,0.8607,0.0015
442,0.8095,0.8269,0.8453,0.0002
467,0.8243,0.8377,0.8567,0.0001
492,0.8172,0.8402,0.8649,0.0004
517,0.8232,0.8414,0.8674,0.0003
542,0.783,0.8458,0.8735,0.0013
