train size,value_min,value_mean,value_max,value_var
42,0.3939,0.4614,0.5177,0.003
67,0.4479,0.5148,0.5817,0.0035
92,0.4956,0.549,0.5814,0.0011
117,0.5442,0.6009,0.6409,0.0015
142,0.5484,0.6121,0.6502,0.0017
167,0.5483,0.625,0.7101,0.0033
192,0.5461,0.6251,0.6607,0.0022
217,0.5743,0.6313,0.6837,0.0015
242,0.6264,0.6614,0.6843,0.0005
267,0.6617,0.681,0.713,0.0004
292,0.6486,0.6739,0.7276,0.0011
317,0.6333,0.6794,0.7208,0.0018
342,0.6507,0.7014,0.7417,0.0017
367,0.6472,0.6899,0.7542,0.0019
392,0.6633,0.721,0.7817,0.0025
417,0.6554,0.7381,0.7989,0.0028
442,0.6555,0.7121,0.7663,0.0017
467,0.7335,0.7643,0.7862,0.0005
492,0.6559,0.7473,0.788,0.0028
517,0.7221,0.7478,0.7824,0.0006
542,0.718,0.7487,0.7629,0.0003
